web-scraper-order,web-scraper-start-url,stars,review,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390323-5132,https://www.taptap.com/app/85838/review?order=default&page=7,width:,14px,一个暗黑类游戏，居然把主线做成线性过图，少了最大的乐趣：探索地图。整个游戏没有一点未知和惊喜，主界面到处都是充值入口，简单明了的告诉你这就是氪金就能变强。没有耐心玩到套装齐，但看看魔法师的技能形态，毕业套也是塔拉夏？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390305-4993,https://www.taptap.com/app/85838/review?order=default&page=14,width:,28px,没玩过暗黑，所以接受度比较高。顶着负面评论依旧下载充了个月卡。玩了半天升到20级，突然觉得无聊了。打副本全都是刷刷刷，刷刷刷也就算了，每次就掉那几个装备。除了怨灵套装就是野蛮套装，也不给点新的东西。到这为止，我还能给个三星半，毕竟画质打击感还不错，走位什么的还挺顺畅。然而回到城镇，满屏幕随便点个按钮都是充值入口。花钻石的时候提示都没有，不小心点错直接没了。回馈礼包成长礼包竟然还要先充个88。抽宠物吧上头充了200抽啥没有，看概率最好的竟然是个大包的宠物饲料。最后不想玩了吧，登出键硬是找了十分钟没找到，强退完卸载。还是老老实实等暗黑（摊手），辣鸡儿一出暗黑评分都高了我还能说什么,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390329-5193,https://www.taptap.com/app/85838/review?order=default&page=4,width:,14px,玩了两天，这游戏吧说是仿暗黑其实也就画面好点其他了都不行，尤其是装备，看着装备图鉴里一千多个装备，但我看了下基本装备了特效都一样，也就是每个等级的名字不一样其他的特效全是一样了，而且普通了传奇装备基本没事用，有用了装备都是远古套而远古套最逗每个等级只有那一套，每隔十级换一种，而上一级了远古套基本没啥用了毕竟等级属性给那放着，而且现在升级那么快我玩了两天升到42本来30了远古套都凑够三件了其他了是三件远古传奇散件，但现在得打40了远古套，估计等40了远古套出来两件我都50了又得打50了远古套。。。。蛋疼，最扯了是60了远古套是把以前了远古套等级给升到60前面就加了个高级。。。。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390272-4717,https://www.taptap.com/app/85838/review?order=default&page=28,width:,56px,中高画质运行流畅，小花36，高考结束和大学期末考结束的学生党可以试一试，不要被评分和水军带偏方向，游戏玩得快乐就行。少给一星是教程界面会出现bug导致教程不流畅，其他一切暂时没有不适应的地方。一周后再续评。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390269-4694,https://www.taptap.com/app/85838/review?order=default&page=29,width:,14px,作为一个暗黑游戏，拉鸡儿真的很垃圾，你说搞那么多限制干嘛，疲劳加进图次数限制，我只想刷刷刷。还有断线次数过于频繁，界面不友好，太繁杂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390334-5242,https://www.taptap.com/app/85838/review?order=default&page=2,width:,14px,腾讯游戏，用钱制造快乐先不说你的这个cg怎么样了，明眼人都看得出是copy的，再说说一些沙雕设定吧，罐头箱子一定要走过去，才有个按键，按了才能击碎？？？？？？你们设计的时候不觉得这样多此一举很脑残吗？,技能平a都打不碎，你的罐子是附了魔是吧？再说说氪金问题，满屏的氪金提示，各种氪金属性加成，腾讯果然还是这么个尿性呀！猪厂鹅厂可长点心吧，看看最近凉了多少款好IP好题材吧，球球你们用点心好吗？作为一个玩了10多年的玩家，实在是有点看不过去了，虽然我支持有氪金，但你们能不能先把游戏做好？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390284-4827,https://www.taptap.com/app/85838/review?order=default&page=22,width:,14px,世界地图任务有疲劳限定，每天三个多一点的任务做完就没了。穿梭之门不能扫荡每次打完都需要重新进入，而且进去的加载时间又臭又长。怪多的时候卡成ppt，技能的释放不够灵敏，每很多次往一个方向放弓箭手的大招都没放出来。其他的两个英雄获得难度比以前增高。（我记得以前好像是直接送的）。在地图中不能切换装备。总之一句话，这游戏没有暗黑刷装备的那种快感，也没有让你没有想肝下去的欲望。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390280-4785,https://www.taptap.com/app/85838/review?order=default&page=24,width:,14px,给多了又玩了一宿我回想起我为啥要给三星？已经不想再说理由了，不是充不充钱的问题，这根本不是暗黑类游戏，没法刷刷刷装备没法自由搭配(因为装备超级难出全是疲劳次数限制)披了暗黑的皮純捞手游这是我从阿拉德战记_时空猎人_一击男_斩魂之刃等等所有rpg,arpg里，最最难以接受，手感最最差的手游了，4.2g就这些我佛了。下面说几点凡是个正常人都难以接受的几点。1。所有职业都无法进行走A，直接导致只要是移速快的怪就能把你当猴子耍着玩明明能两刀打死的怪你要追半天(尤其蛮子甚惨，法师不太难受)2。怪物的控制技能，巨多直接把你推出他的视线之外，位移技能cd走过去，又把你再推开wtf？只能位移技能过去争取把他直接秒了。3。无限的任务，任务疲劳，去世界任务探索还有疲劳值限制，狂刷任务玩了3个小时没到20级。4。优化问题……还是我手机太卡了麽过图要半分钟，而且我匹配酒馆进图后队友一个动的都没hhh5。最后说下氪金点，赛季升级奖励是升级巅峰点给奖励，你可以不氪金20级领取次蚊子腿然后每隔5～8级在领取次。或者……你可以选择直升100级！是的你没看错rpg游戏直升100不要998不要888现在3折只要198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390276-4745,https://www.taptap.com/app/85838/review?order=default&page=26,width:,70px,"我没玩过暗黑破坏神系列,也不明白什么叫情怀。纯萌新。听说这游戏差评如潮,但还是决定尝试一下。因为早就和室友一起想着找一个能开黑的刷刷刷的游戏。其实在大学时间也不是那么充足,有很多事情需要去做。每天的游戏时间在2-4小时左右吧,感觉游戏的设置还行,虽然世界疲劳确实掉的快,而且交任务的时候他才告诉你疲劳不够,极其恶心。但是,还有酒馆、魔镜可以去刷,这里面的东西很多,虽然都有次数限制,完全不过瘾,但是,这些杂七杂八的东西加起来也要用掉一两个小时的时间,对我来说,游戏时间刚刚好,挺不错的。不爽的是次数限制上面有一行字“至尊骑士次数+2”,虽然很烦,但还是可以接受,毕竟我是白嫖玩家,它是厂商。最烦的是那个巅峰等级,一千多级的等级上限???400级和900左右才能解锁另外两个人物,这是我最想打差评的理由。如果没有和室友一起刷刷刷玩了两天,我大概会和多数浅玩家一样丢上一个一星然后卸载走人。再说说我打五星的理由,我想那些每天游戏时间在两三个小时左右的佛系玩家大概会认同吧,大概。。。第一点,世界事件,魔镜,酒馆的时间加起来一两个小时。第二点,也是最让我觉得良心的一点!!!没错,就是良心,直接打五星的原因,也可能是我孤陋寡闻,我是从来没有想到过这种刷刷刷的游戏,的宝石镶嵌和强化等级能够继承!继承!!!!!!例如,我一件22级的弓箭,强化等级+10,镶嵌了三块宝石,然后当我装备31级的弓箭的时候,它会提示我,要不要把22级弓的强化等级和宝石转移到31级的弓上,多余的宝石可以退到背包。完全解决了我对游戏装备的困扰,实在是痛快!!!五星五星",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390329-5190,https://www.taptap.com/app/85838/review?order=default&page=4,width:,14px,之前觉得游戏美术很好，只是氪金和平衡性严重失衡了。体验了几天之后，现在的评价是，美术模型还是较差的，特效也较差，可能就是渲染好一点。氪金点比我之前以为的要稍微好一点点，但是吃相依旧难看。玩着玩着会发现完全没有暗黑的内核，只有一点点暗黑的皮毛。刷刷刷的体验没有，build不存在。总之，大失所望!等暗黑不朽吧，希望会好一些。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
